,language,endangerment,speakers,latitude,longitude
1951,Menominee,Critically endangered,35.0,44.9356,-88.6144
1964,Cahuilla,Critically endangered,30.0,33.5404,-116.7436
1974,Mono (Eastern),Critically endangered,30.0,37.3674,-118.3953
1980,Valley Yokuts,Severely endangered,30.0,36.0582,-119.5241
1985,Ahtna,Critically endangered,25.0,62.7547,-144.3164
1987,Caddo,Critically endangered,25.0,35.0985,-98.2603
1988,Columbian,Critically endangered,25.0,48.1764,-119.0523
1997,Upper Kuskokwim,Critically endangered,25.0,63.0091,-154.3889
1999,Kashaya,Critically endangered,24.0,38.6603,-123.3045
2002,Washo,Severely endangered,24.0,38.9226,-119.7256
2033,Nez Perce,Critically endangered,20.0,46.4347,-116.8268
2037,Panamint,Critically endangered,20.0,36.4555,-116.8666
2059,Tanana,Critically endangered,15.0,64.605,-149.0625
2060,Ingalik,Critically endangered,14.0,62.1655,-156.3134
2065,Han (United States of America),Critically endangered,12.0,64.7837,-141.2172
2066,Hupa,Critically endangered,12.0,41.7624,-123.7028
2067,Karuk,Severely endangered,12.0,41.7929,-123.3763
2068,Makah,Critically endangered,12.0,48.3658,-124.6118
2073,Yurok,Critically endangered,12.0,41.0607,-124.1413
2076,Achumawi,Critically endangered,10.0,40.8816,-122.6715
2078,Arikara,Critically endangered,10.0,47.648,-101.8327
2084,Gros Ventre,Critically endangered,10.0,48.4824,-108.7639
2094,Kawaiisu,Critically endangered,10.0,35.0589,-118.4026
2105,Mandan,Critically endangered,10.0,47.5165,-102.2461
2115,Northern Paiute (Idaho),Critically endangered,10.0,43.0439,-112.4566
2117,Oneida (Wisconsin),Critically endangered,10.0,44.5158,-88.0075
2118,Onondaga (New York),Critically endangered,10.0,43.047,-76.1422
2119,Osage,Critically endangered,10.0,36.6683,-96.3316
2121,Pawnee,Critically endangered,10.0,36.3372,-96.8032
2131,Tule-Kaweah Yokuts,Critically endangered,10.0,36.0269,-118.7213
2133,Wichita,Critically endangered,10.0,35.0647,-98.2788
2153,Kiksht,Critically endangered,7.0,44.2708,-121.2871
2158,Ipai,Critically endangered,6.0,32.9359,-116.868
2160,Kings River Yokuts,Critically endangered,6.0,36.9104,-118.9261
2163,Northern Sierra Miwok,Critically endangered,6.0,38.4008,-120.5351
2174,Holikachuk,Critically endangered,5.0,64.2254,-155.3027
2179,Kalispel,Critically endangered,5.0,48.2549,-117.2174
2182,Luiseño,Critically endangered,5.0,33.4622,-117.1269
2183,Lushootseed,Critically endangered,5.0,47.6074,-122.5681
2203,Yuchi,Critically endangered,5.0,36.0009,-96.0988
2205,Coeur d'Alene,Critically endangered,4.0,43.3433,-116.8873
2222,Central Pomo,Critically endangered,3.0,38.9704,-123.6893
2223,Central Sierra Miwok,Critically endangered,3.0,37.962,-120.2384
2224,Chemehuevi,Critically endangered,3.0,34.0138,-114.2146
2225,Kiowa Apache,Critically endangered,3.0,35.1018,-98.6033
2226,Konkow,Critically endangered,3.0,39.467,-121.5155
2227,Lake Miwok,Critically endangered,3.0,38.6426,-122.3849
2229,Mescalero-Chiricahua Apache (Oklahoma),Critically endangered,3.0,34.8986,-98.3589
2230,Northern Pomo,Critically endangered,3.0,39.4143,-123.3502
2232,Southern Pomo,Critically endangered,3.0,38.7048,-122.8971
2233,Southern Sierra Miwok,Critically endangered,3.0,37.6148,-119.789
2234,Tubatulabal,Critically endangered,3.0,35.6444,-118.5183
2235,Tuscarora (United States of America),Critically endangered,3.0,43.0877,-79.0627
2245,Klallam,Critically endangered,2.0,47.8475,-122.585
2251,Maidu,Critically endangered,2.0,40.4134,-120.6738
2252,Oneida (New York),Critically endangered,2.0,43.0778,-75.6622
2257,Spokane,Critically endangered,2.0,47.9286,-118.0165
2271,Patwin,Critically endangered,1.0,38.7608,-122.0354
2276,Tolowa,Critically endangered,1.0,41.9566,-124.1915
2279,Wintu-Nomlaki,Critically endangered,1.0,39.8637,-122.0822
2292,Antoniano,Extinct,0.0,35.9717,-121.1757
2295,Arapaho (Oklahoma),Extinct,0.0,35.602,-97.9712
2302,Atsugewi,Extinct,0.0,40.8824,-122.6661
2307,Barbareño,Extinct,0.0,34.4227,-119.7039
2319,Catawba,Extinct,0.0,34.9361,-81.0272
2320,Cayuga (Oklahoma),Extinct,0.0,36.6302,-94.6441
2321,Cayuse,Extinct,0.0,44.9647,-118.5424
2322,Central Kalapuyan,Extinct,0.0,43.8,-123.06
2326,Cowlitz,Extinct,0.0,46.132,-122.8642
2329,Cupeño,Extinct,0.0,33.364,-117.0756
2340,Eastern Abenaki,Extinct,0.0,44.9423,-68.7328
2342,Eastern Pomo,Extinct,0.0,39.0461,-122.9211
2343,Eel River Athabaskan,Extinct,0.0,40.188,-123.6477
2347,Eyak,Extinct,0.0,60.2165,-143.3935
2360,Hanis,Extinct,0.0,43.406,-124.2402
2367,Huron-Wyandot (United States of America),Extinct,0.0,36.7923,-94.7229
2369,Ineseño,Extinct,0.0,34.5942,-120.1371
2371,Island Chumash,Extinct,0.0,34.3821,-119.4574
2377,Kansa,Extinct,0.0,36.7657,-96.8652
2382,Kato,Extinct,0.0,39.677,-123.4944
2393,Klamath-Modoc,Extinct,0.0,42.5767,-121.8637
2394,Konomihu,Extinct,0.0,41.2583,-123.3216
2410,Lipan,Extinct,0.0,33.1513,-105.799
2416,Lower Chehalis,Extinct,0.0,46.3227,-123.9724
2425,Mattole,Extinct,0.0,39.1375,-123.6931
2426,Miami-Illinois,Extinct,0.0,36.8866,-94.8775
2427,Migueleño,Extinct,0.0,35.7587,-120.6951
2435,Molala,Extinct,0.0,44.8636,-122.4645
2442,Natchez,Extinct,0.0,31.5544,-91.3875
2443,New River Shasta,Extinct,0.0,45.2835,-121.7134
2447,Nisenan,Extinct,0.0,38.7654,-121.0064
2448,Nooksack,Extinct,0.0,49.0378,-122.4865
2450,Northeastern Pomo,Extinct,0.0,39.3774,-122.5454
2454,Obispeño,Extinct,0.0,35.2692,-120.6707
2472,Purisimeño,Extinct,0.0,34.6608,-120.4711
2474,Quapaw,Extinct,0.0,36.9494,-94.7877
2475,Quileute,Extinct,0.0,47.9083,-124.6365
2482,Serrano,Extinct,0.0,34.1212,-117.2221
2488,Siuslaw,Extinct,0.0,43.3773,-124.2371
2490,Southeastern Pomo,Extinct,0.0,39.016,-122.6779
2501,Tillamook,Extinct,0.0,45.3449,-123.5309
2506,Tunica,Extinct,0.0,31.1262,-92.0673
2507,Tututni,Extinct,0.0,42.5756,-124.0688
2508,Twana,Extinct,0.0,47.3344,-123.1607
2512,Upper Chehalis,Extinct,0.0,46.4111,-122.9949
2513,Upper Umpqua,Extinct,0.0,43.4476,-123.77
2516,Ventureño,Extinct,0.0,34.2809,-119.2979
2520,Wappo,Extinct,0.0,38.8701,-122.5154
2522,Wiyot,Extinct,0.0,40.5984,-124.2519
2530,Yuki,Extinct,0.0,37.4336,-118.5908
2567,Chinook Jargon,Critically endangered,0.0,45.0591,-123.6091
2568,Chiwere,Extinct,0.0,35.9761,-97.3336
2629,Mohawk (Ganienkeh),Definitely endangered,0.0,44.8675,-73.67
2631,Mohawk (Kanatsiohareke),Definitely endangered,0.0,42.9116,-74.5587
2639,Munsee (United States of America),Critically endangered,0.0,40.8969,-76.3769
2663,Quinault,Extinct,0.0,47.3332,-124.2864
2681,Southern Paiute,Severely endangered,0.0,37.6818,-113.088
2706,Unami,Extinct,0.0,39.13,-76.0253
2712,Western Abenaki (United States of America),Extinct,0.0,43.0046,-72.246
