,state,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
28,"Nebraska
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.3%
","0.3%
","0.2%
","0.2%
","0.3%
","0.3%
"
29,"Nevada
","10.9%
","10.9%
","10.9%
","10.9%
","10.9%
","10.9%
","10.9%
","10.9%
","12.3%
","6.4%
","6.3%
","5.3%
","4.3%
","3.1%
"
30,"New Hampshire
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
31,"New Jersey
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
32,"New Mexico
","9.4%
","9.4%
","9.4%
","9.4%
","9.4%
","9.4%
","9.4%
","9.4%
","6.7%
","6.3%
","5.4%
","6.8%
","6.5%
","6.2%
"
33,"New York
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
"
34,"North Carolina
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.3%
","0.4%
","0.5%
","0.5%
","0.6%
","0.1%
"
35,"North Dakota
","4.3%
","4.3%
","4.3%
","4.3%
","4.3%
","4.3%
","4.3%
","4.3%
","2.2%
","1.1%
","1.0%
","1.2%
","1.6%
","1.7%
"
36,"Ohio
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
37,"Oklahoma
","24.9%
","24.9%
","24.9%
","24.9%
","24.9%
","24.9%
","24.9%
","24.9%
","8.2%
","4.5%
","2.8%
","3.9%
","2.7%
","2.4%
"
38,"Oregon
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","1.2%
","0.8%
","0.6%
","0.5%
","0.4%
","0.4%
"
39,"Pennsylvania
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
40,"Rhode Island
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.0%
","0.1%
","0.0%
","0.0%
","0.0%
","0.0%
"
41,"South Carolina
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.1%
","0.1%
","
"
42,"South Dakota
","5.7%
","5.7%
","5.7%
","5.7%
","5.7%
","5.7%
","5.7%
","5.7%
","5.0%
","3.3%
","2.6%
","3.2%
","3.6%
","3.6%
"
43,"Tennessee
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
44,"Texas
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
45,"Utah
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","1.6%
","0.9%
","0.8%
","0.6%
","0.6%
","0.7%
","0.6%
"
46,"Vermont
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
47,"Virginia
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
48,"Washington
","3.1%
","3.1%
","3.1%
","3.1%
","3.1%
","3.1%
","3.1%
","3.1%
","1.9%
","1.0%
","0.7%
","0.7%
","0.7%
","0.6%
"
49,"West Virginia
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
50,"Wisconsin
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.6%
","0.4%
","0.4%
","0.4%
","0.4%
","0.4%
","0.4%
"
51,"Wyoming
","2.9%
","2.9%
","2.9%
","2.9%
","2.9%
","2.9%
","2.9%
","2.9%
","1.8%
","1.0%
","0.7%
","0.8%
","0.9%
","1.1%
"
52,"Puerto Rico
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
